message_type,repeat_indicator,source_mmsi,name,navigational_status_description,rate_of_turn,speed_over_ground,position_10m_accuracy?,longitude,latitude,course_over_ground,true_heading,time_stamp,special_manoeuvre,raim?
3,0,235014365,Red Falcon,Under way using engine,25.712806080042984,13.7,false,-1.2916666666666667,50.80793333333333,179.6,185,29,0,false
3,0,235014365,Red Falcon,Under way using engine,19.686367155032915,13.8,false,-1.2917333333333334,50.807233333333336,183.7,189,40,0,false
3,0,235014365,Red Falcon,Under way using engine,19.686367155032915,13.8,false,-1.2917666666666667,50.80703333333334,184.3,189,43,0,false
3,0,235014365,Red Falcon,Under way using engine,19.686367155032915,13.8,false,-1.2917833333333333,50.8069,184.7,190,45,0,false
1,0,235014365,Red Falcon,Under way using engine,19.686367155032915,13.9,false,-1.2919833333333333,50.806016666666665,189.1,195,59,0,false
1,0,235014365,Red Falcon,Under way using engine,5.401474888342364,13.6,false,-1.2927166666666667,50.80415,195.6,198,29,0,false
1,0,235014365,Red Falcon,Under way using engine,0.0,13.6,false,-1.2930333333333333,50.80348333333333,196.4,198,40,0,false
1,0,235014365,Red Falcon,Under way using engine,-5.401474888342364,13.6,false,-1.2932,50.803133333333335,197.1,198,46,0,false
1,0,235014365,Red Falcon,Under way using engine,10.04406487501679,13.6,false,-1.2935666666666668,50.802416666666666,197.4,200,58,0,false
1,0,235014365,Red Falcon,Under way using engine,0.0,13.6,false,-1.2941333333333334,50.80133333333333,199.4,201,17,0,false
1,0,235014365,Red Falcon,Under way using engine,0.0,13.6,false,-1.2948,50.800216666666664,201.1,203,35,0,false
1,0,235014365,Red Falcon,Under way using engine,-14.46345342002418,12.8,false,-1.2976166666666666,50.79625,206.2,205,47,0,false
3,0,235014365,Red Falcon,Under way using engine,-14.46345342002418,12.9,false,-1.2985666666666666,50.79493333333333,204.9,202,10,0,false
3,0,235014365,Red Falcon,Under way using engine,-14.46345342002418,13.0,false,-1.2989166666666667,50.79445,203.8,200,19,0,false
1,0,235014365,Red Falcon,Under way using engine,-14.46345342002418,13.0,false,-1.2990666666666666,50.794216666666664,203.2,199,23,0,false
1,0,235014365,Red Falcon,Under way using engine,-14.46345342002418,13.3,false,-1.2996,50.7933,198.9,194,39,0,false
1,0,235014365,Red Falcon,Under way using engine,10.04406487501679,13.2,false,-1.3010166666666667,50.7903,195.2,194,30,0,false
3,0,235014365,Red Falcon,Under way using engine,-5.401474888342364,12.9,false,-1.3027,50.78686666666667,198.6,197,29,0,false
1,0,235014365,Red Falcon,Under way using engine,-25.712806080042984,13.1,false,-1.3052666666666666,50.78225,200.6,194,49,0,false
3,0,235014365,Red Falcon,Under way using engine,0.0,12.9,false,-1.30595,50.780683333333336,192.4,186,16,0,false
1,0,235014365,Red Falcon,Under way using engine,0.0,12.9,false,-1.3059833333333333,50.780566666666665,192.2,186,18,0,false
1,0,235014365,Red Falcon,Under way using engine,-5.401474888342364,13.1,false,-1.30635,50.779383333333335,190.7,185,38,0,false
1,0,235014365,Red Falcon,Under way using engine,-14.46345342002418,13.2,false,-1.3065,50.77878333333334,190.3,183,48,0,false
3,0,235014365,Red Falcon,Under way using engine,-86.42359821347782,12.5,false,-1.30675,50.77746666666667,180.4,162,10,0,false
3,0,235014365,Red Falcon,Under way using engine,-64.4605763534411,12.1,false,-1.30665,50.77696666666667,169.4,152,19,0,false
3,0,235014365,Red Falcon,Under way using engine,-30.176834913383782,11.4,false,-1.30625,50.77625,155.6,143,33,0,false
3,0,235014365,Red Falcon,Under way using engine,-14.46345342002418,11.2,false,-1.3060166666666666,50.775983333333336,151.6,141,39,0,false
3,0,235014365,Red Falcon,Under way using engine,-14.46345342002418,11.2,false,-1.3059,50.77585,150.7,140,42,0,false
3,0,235014365,Red Falcon,Under way using engine,25.712806080042984,10.9,false,-1.30505,50.77498333333333,148.5,146,2,0,false
1,0,235014365,Red Falcon,Under way using engine,-19.686367155032915,10.5,false,-1.3038166666666666,50.77336666666667,154.0,143,39,0,false
1,0,235014365,Red Falcon,Under way using engine,10.04406487501679,10.2,false,-1.3030666666666666,50.77251666666667,149.9,144,59,0,false
1,0,235014365,Red Falcon,Under way using engine,5.401474888342364,10.2,false,-1.30195,50.7713,149.9,145,28,0,false
1,0,235014365,Red Falcon,Under way using engine,-5.401474888342364,10.2,false,-1.3012,50.77043333333334,149.1,143,49,0,false
1,0,235014365,Red Falcon,Under way using engine,0.0,10.0,false,-1.3008166666666667,50.77003333333333,149.5,143,59,0,false
